"id_ciudad","cod_pais","ciudad","latitud","longitud","id_departamento"
1,CO,Bogotá,4.711,-74.0721,3
2,CO,Medellín,6.2442,-75.5812,1
3,CO,Pereira,4.8087,-75.6906,20
4,CO,Ibagué,4.4447,-75.2424,23
5,CO,Cali,3.4516,-76.532,24
6,CO,Barranquilla,10.979485,-74.814241,2
7,CO,Cartagena,10.391,-75.4794,4
8,CO,Bucaramanga,7.1193,-73.1227,21
9,CO,Palmira,3.5320562,-76.312935,24
10,CO,Manizales,5.0687821,-75.5186625,6
11,CO,Sincelejo,9.2922333,-75.4123389,22
12,CO,Barrancabermeja,7.0675,-73.847222,21
13,CO,Melgar,4.203889,-74.642778,11
14,CO,Santa Marta,11.2316073,-74.2174168,15
15,CO,Cúcuta,7.9089243,-72.5744617,18
16,CO,Popayán,2.4574702,-76.6349538,8
17,CO,Tunja,5.5393784,-73.3912608,5
18,CO,Pasto,1.2135252,-77.3122422,17
19,CO,Duitama,5.8259912,-73.0476352,5
20,CO,Neira,5.1668521,-75.5247339,6
21,CO,Floridablanca,7.0780141,-73.1338546,21
22,CO,San Gil,6.5526854,-73.1536311,21
23,CO,Chía,4.8648005,-74.0684275,11
24,CO,Facatativá,4.8082391,-74.3630084,11
25,CO,Cajicá,4.9231299,-74.0415771,11
26,CO,Sopó,4.8932515,-74.0331957,11
27,CO,Piedecuesta,6.9879636,-73.0715083,21
28,CO,Tocancipá,4.9650019,-73.9195782,11
29,CO,Montería,8.7605469,-75.9169896,10
30,CO,Yarumal,6.9640204,-75.4281147,1
31,CO,Soacha,4.5792834,-74.229807,11
32,CO,Dosquebradas,4.8363266,-75.7149712,20
33,CO,Rionegro,6.1448793,-75.3925951,1
34,CO,Bello,6.3319642,-75.5879613,1
35,CO,Itagüí,6.1753778,-75.6314396,1
36,CO,Mosquera,4.7064627,-74.2431763,11
37,CO,Madrid,4.7331125,-74.2823262,11
38,CO,Envigado,6.1663544,-75.5994392,1
39,CO,Sabaneta,6.1492775,-75.6367833,1
40,CO,Tabio,4.9169727,-74.1007358,11
41,CO,Villavicencio,4.1249257,-73.6791013,16
42,CO,Acacías,4.338409,-74.1725243,16
43,CO,Aguachica,8.3059241,-73.6291741,9
44,CO,Aguazul,5.1685758,-72.5723237,26
45,CO,Anserma,5.2361823,-75.8008262,6
46,CO,Apartadó,7.8827607,-76.6422022,1
47,CO,Arauca,7.0761706,-70.7736889,25
48,CO,Armenia,4.5422707,-75.715569,19
49,CO,Barbosa,5.9343742,-73.6200569,21
50,CO,Buenaventura,3.8756618,-77.0582219,24
51,CO,Caicedonia,4.30737,-75.911179,24
52,CO,Calarcá,4.5231002,-75.6627261,19
53,CO,Caldas,6.0943167,-75.6508571,1
54,CO,Chinchina,5.0017537,-75.733715,6
55,CO,Chiquinquirá,5.6147747,-73.8370807,5
56,CO,Ciénaga,11.009056,-74.2632397,15
57,CO,Cimitarra,6.3152095,-73.9576607,21
58,CO,Copacabana,6.3576198,-75.5400978,1
59,CO,El Banco,9.003507,-73.9913737,15
60,CO,El Carmen De Viboral,6.0821778,-75.3548936,1
61,CO,Mesitas del Colegio,4.5783314,-74.4520398,11
62,CO,Espinal,4.1693014,-74.9760175,23
63,CO,Florencia,1.6188687,-75.6388618,7
64,CO,Garzón,2.1558401,-75.698397,13
65,CO,Girardot,4.3113081,-74.8281009,11
66,CO,Girardota,6.3783217,-75.4670272,1
67,CO,Girón,7.0736392,-73.2019908,21
68,CO,Buga,3.8990988,-76.3345817,24
69,CO,Riohacha,11.5344389,-72.9496761,14
70,CO,Guayabal,4.8783229,-74.4694722,11
71,CO,Jamundí,3.2612723,-76.5594051,24
72,CO,La Ceja,6.0276319,-75.4403514,1
73,CO,La Dorada,5.4727084,-74.7030038,6
74,CO,La Estrella,6.1387493,-75.6753044,1
75,CO,La Mesa,4.6343783,-74.4756161,11
76,CO,La Plata,2.3888585,-75.9004982,13
77,CO,La Unión,4.5335108,-76.1123712,24
78,CO,Leticia,-4.2031642,-69.9774759,29
79,CO,Líbano,4.9209558,-75.0806392,23
80,CO,Lorica,9.2424911,-75.8367127,10
81,CO,Marinilla,6.1730689,-75.3466732,1
82,CO,Mariquita,5.1995045,-74.9218544,23
83,CO,Granada,3.5448298,-73.7403013,16
84,CO,Montelíbano,7.9768021,-75.4347187,10
85,CO,Neiva,2.9376172,-75.34243,13
86,CO,Ocaña,8.2520484,-73.3882403,18
87,CO,Pitalito,1.8529804,-76.0724286,13
88,CO,Puerto Berrío,6.4777542,-74.4263096,1
89,CO,Puerto Boyacá,5.9742922,-74.6017236,5
90,CO,Puerto López,4.0913543,-72.9734281,16
91,CO,Quimbaya,4.6259075,-75.7706204,19
92,CO,Sabanalarga,10.627529,-74.9386441,2
93,CO,Sahagún,8.9337693,-75.4816848,10
94,CO,San Andrés,12.5404493,-81.7742954,28
95,CO,Tumaco,1.7874336,-78.7997743,17
96,CO,San José Del Guaviare,2.5693494,-72.6563816,31
97,CO,San Vicente Del Caguán,2.1129249,-74.7902257,7
98,CO,Santa Rosa De Cabal,4.8849515,-75.6565292,20
99,CO,Santander De Quilichao,3.0122803,-76.5020432,8
100,CO,Santo Tomás,10.7632856,-74.7776647,2
101,CO,Sevilla,4.2743777,-75.9485137,24
102,CO,Sogamoso,5.7237868,-72.9546003,5
103,CO,Soledad,10.9102654,-74.8235148,2
104,CO,Tame,6.4570936,-71.7630252,25
105,CO,Túquerres,1.0857394,-77.6273958,17
106,CO,Ubaté,5.3120238,-73.8269768,11
107,CO,Valledupar,10.4647686,-73.294166,9
108,CO,Yopal,5.3327952,-72.4085107,26
109,CO,Yumbo,3.5453343,-76.565068,24
110,CO,Zarzal,4.3886493,-76.0898912,24
111,CO,Zipaquirá,5.0214757,-74.0066581,11
112,CO,Ipiales,0.8262219,-77.6550351,17
113,CO,Cartago,4.7461031,-75.9629652,24
114,CO,Caucasia,7.9786912,-75.2153377,1
115,CO,Funza,4.7152193,-74.2252126,11
116,CO,Fusagasugá,4.3387471,-74.4018276,11
117,CO,Tuluá,4.0909792,-76.2313006,24
118,CO,Roldanillo,4.4141378,-76.1609278,24
119,CO,Chaparral,3.7533984,-75.7335539,23
120,CO,Don Matías,6.4857025,-75.4025852,1
122,CO,Quibdó,5.6956327,-76.6628026,12
123,CO,Saravena,6.9561067,-71.8901042,25
124,CO,Santo Domingo,6.4715736,-75.1690239,1
125,CO,Filandia,4.6757726,-75.6637364,19
126,CO,Pamplona,7.374873,-72.648148,18
127,CO,Sasaima,4.962959,-74.433584,11
128,CO,Cogua,5.061241,-73.977856,11
129,CO,Guasca,4.8660992,-73.8828888,11
130,CO,San Francisco,5.9634382,-75.1065153,1
131,CO,Gachantivá,5.7521398,-73.5515691,5
132,CO,Sesquilé,5.0452781,-73.8013019,11
133,CO,Cumaral,4.2666371,-73.5049953,16
134,CO,Magangué,9.2398158,-74.7766262,4
135,CO,Arjona,10.2525128,-75.3648181,4
136,CO,Turbaco,10.3310772,-75.4323676,4
137,CO,Tubará,10.872773,-74.9817313,2
139,CO,Flandes,4.2827539,-74.8234488,23
140,CO,Prado,3.7497407,-74.9321099,23
141,CO,Bojacá,4.7368486,-74.3486318,11
142,CO,Silvania,4.3890275,-74.4135321,11
143,CO,Albán,4.8785468,-74.4405572,11
144,CO,Galapa,10.8989444,-74.8925777,2
145,CO,Barbosa,6.4388122,-75.3428538,1
146,CO,Une,4.4025902,-74.0275732,11
147,CO,San Pedro,3.9932653,-76.2333799,24
148,CO,Mocoa,1.1523619,-76.6598098,27
149,CO,Puerto Colombia,11.005974,-74.948853,2
150,CO,La Victoria,4.5241263,-76.0448252,24
151,CO,Chinú,9.1059856,-75.4102818,10
152,CO,Coveñas,9.4039223,-75.6822081,22
153,CO,Clemencia,10.5682496,-75.3298818,4
154,CO,Retiro,6.0609652,-75.5069598,1
155,CO,San Pedro,6.4622206,-75.5657588,1
156,CO,Fundación,10.5171995,-74.1985922,15
157,CO,Malambo,10.8614142,-74.7922085,2
158,CO,Baranoa,10.7919651,-74.9239642,2
159,CO,Ricaurte,4.2801102,-74.8092741,11
160,CO,Villeta,5.00643,-74.473124,11
161,CO,Río Frío,10.9054402,-74.1738172,15
162,CO,Motavita,5.576768,-73.367739,5
163,CO,Honda,5.211883,-74.760291,23
164,CO,Sabanalarga,10.633518,-74.917787,2
165,CO,Maicao,11.37995,-72.238812,14
166,SV,San Salvador,13.6914684,-89.2847345,34
167,MX,Ciudad de México,19.3827346,-99.1417305,35
168,SV,Santa Ana,13.22248,-89.93192,105
169,SV,San Miguel,13.22203,-89.93147,103
171,SV,La Libertad,13.22107,-89.93051,99
181,PA,Panamá City,9.0813884,-79.5935645,36
182,PA,David,8.4050104,-82.4971234,37
183,PA,Colón,9.3235053,-80.0075078,38
184,PA,Penonomé,8.533601,-80.3968447,39
185,PA,Santiago,8.0854949,-80.9901494,40
186,PA,Bocas del Toro,9.3921117,-82.314769,41
187,PA,Chitré,7.9529547,-80.4440618,42
188,PA,Las Tablas,7.7726296,-80.298536,43
189,PA,Las Palmas,8.1472037,-81.4688057,40
190,MX,Acapulco,16.8531086,-99.8236533,55
191,MX,Aguascalientes,21.8852562,-102.2915677,44
192,MX,Campeche,19.8301251,-90.5349087,47
193,MX,Cancún,21.161908,-86.8515279,66
194,MX,Cárdenas,18.0012067,-93.3732339,70
195,MX,Celaya,20.5279612,-100.8112885,54
196,MX,Chetumal,18.5001889,-88.296146,66
197,MX,Chihuahua,28.6329957,-106.0691004,51
198,MX,Chilpancingo,17.5515346,-99.5006322,55
199,MX,Ciudad del Carmen,18.6504879,-91.8074585,47
200,MX,Ciudad Obregón,27.4827729,-109.930367,69
201,MX,Ciudad Victoria,23.7369164,-99.1411153,71
202,MX,Coatzacoalcos,18.1344779,-94.4589858,73
203,MX,Colima-Villa de Álvarez,19.2662338,-103.7390574,49
204,MX,Córdoba,18.8838909,-96.9237751,73
205,MX,Cuautla,18.8126047,-98.9548261,60
206,MX,Cuernavaca,18.9242095,-99.2215659,60
207,MX,Culiacán,24.8090649,-107.3940117,68
208,MX,Durango,24.0277202,-104.6531759,53
209,MX,Ensenada,31.8667427,-116.5963713,45
210,MX,Guadalajara,20.6596988,-103.3496092,57
211,MX,Guadalupe,22.7565759,-102.511889,75
212,MX,Guanajuato,20.9170187,-101.2573586,54
213,MX,Guaymas,27.9178651,-110.9089378,69
214,MX,Hermosillo,29.0729673,-110.9559192,69
215,MX,Irapuato,20.6786652,-101.3544964,54
216,MX,Juárez,31.6903638,-106.4245478,51
217,MX,La Laguna,27.9141667,-100.4280556,48
218,MX,La Paz,24.1165112,-110.3377464,46
219,MX,La Piedad-Pénjamo,20.3689912,-101.9961594,54
220,MX,León,21.1250077,-101.6859605,54
221,MX,Los Cabos,22.8905327,-109.9167371,46
222,MX,Los Mochis,25.7904657,-108.985882,68
223,MX,Manzanillo,19.1138094,-104.3384616,49
224,MX,Matamoros,25.8690294,-97.5027375,71
225,MX,Mazatlán,23.2494148,-106.4111425,68
226,MX,Mérida,20.9673702,-89.5925857,74
227,MX,Mexicali,32.6245389,-115.4522623,45
228,MX,Minatitlán,18.0005464,-94.5572847,73
229,MX,Monclova-Frontera,26.9377144,-101.4446968,48
230,MX,Monterrey,25.6866142,-100.3161126,62
231,MX,Morelia,19.7059504,-101.1949825,59
232,MX,Nuevo Laredo,27.4779362,-99.549573,71
233,MX,Oaxaca,17.0731842,-96.7265889,63
234,MX,Ocotlán,20.3417485,-102.7652326,57
235,MX,Orizaba,18.8504744,-97.1036396,73
236,MX,Pachuca,20.1010608,-98.7591311,56
237,MX,Piedras Negras,28.6916182,-100.5408622,48
238,MX,Poza Rica,20.5270592,-97.4629119,73
239,MX,Puebla-Tlaxcala,19.1446403,-98.265058,64
240,MX,Puerto Vallarta,20.653407,-105.2253316,57
241,MX,Querétaro,20.5887932,-100.3898881,65
242,MX,Reynosa-Río Bravo,25.9860315,-98.0956327,71
243,MX,Rioverde-Ciudad Fernández,21.9368487,-100.0303723,67
244,MX,Salamanca,20.5739314,-101.1957172,54
245,MX,Saltillo,25.4383234,-100.973678,48
246,MX,San Francisco del Rincón,21.0170828,-101.8492577,54
247,MX,San Juan del Río,20.3951106,-99.9856344,65
